1,1,103694,0,1,4,1,13340,5.52425676,#FF1F00,0.165333333,5.03766667,30.4697581,0,0
2,2,1092565,0,0,7,1,14292,999,#999999,999,999,999,0,0
24,24,1128678,3,0,2,0,2617,999,#999999,999,999,999,0,0
27,27,1128898,0,1,2,1,12846,44.605,#FFFF00,0.468122063,5.8035,12.3974076,0,0
34,34,1130370,0,0,7,1,12297,999,#999999,999,999,999,0,0
35,35,1130726,3,0,1,0,2671,999,#999999,999,999,999,0,0
36,36,1130894,1,0,1,0,1058,999,#999999,999,999,999,0,0
46,46,1146530,0,0,7,1,16350,999,#999999,999,999,999,0,0
50,50,1152826,0,0,4,1,12897,999,#999999,999,999,999,0,0
53,53,1153110,1,0,1,0,2563,999,#999999,999,999,999,0,0
55,55,1153322,3,0,1,0,428,999,#999999,999,999,999,0,0
63,63,1155220,0,0,1,1,11023,999,#999999,999,999,999,0,0
65,65,1155392,0,0,4,1,10658,999,#999999,999,999,999,0,0
66,66,1155982,0,0,1,1,16168,999,#999999,999,999,999,0,0
67,67,1157490,0,1,6,1,13910,108.381,#009966,0.760208524,7.831,10.301121,0,0
69,69,1207256,0,1,6,1,19901,666,#FFFFFF,0.724,4.979,6.87707182,0,0
75,75,1209666,1,0,1,0,1638,999,#999999,999,999,999,0,0
88,88,1227596,0,1,1,1,11793,666,#FFFFFF,0.315753068,7.226,22.8849716,0,0
94,94,1230186,3,0,1,0,6726,999,#999999,999,999,999,0,0
118,118,1253676,3,0,1,0,4066,999,#999999,999,999,999,0,0
122,122,1256192,0,0,1,1,13440,999,#999999,999,999,999,0,0
125,125,1262072,3,0,1,0,628,999,#999999,999,999,999,0,0
136,136,1271772,0,1,4,1,15739,666,#FFFFFF,0.331917158,8.012,24.1385532,0,0
141,141,1278578,1,4,1,0,1627,999,#999999,999,999,999,0,0
143,143,1280220,1,4,1,0,1004,999,#999999,999,999,999,0,0
144,144,1281016,1,4,1,0,1350,999,#999999,999,999,999,0,0
154,154,1283534,3,0,1,0,899,999,#999999,999,999,999,0,0
160,160,1285762,0,1,4,1,16821,98.404,#00D629,0.33141213,2.997,9.04312102,0,0
161,161,1286248,0,1,7,1,11354,666,#FFFFFF,0.347179487,5.9285,17.0761817,0,0
163,163,1291064,1,4,1,0,2082,999,#999999,999,999,999,0,0
180,180,1329276,3,0,7,0,1144,999,#999999,999,999,999,0,0
181,181,1331530,1,4,7,0,1940,999,#999999,999,999,999,0,0
204,204,139314,0,1,6,1,10426,43.5834258,#FFF500,0.0853272184,4.943,57.9299325,0,0
205,205,1403212,0,1,5,1,12261,165.799,#A3005C,0.436598514,6.306,14.4434756,0,0
206,206,141822,0,1,5,1,12850,98.119,#00D629,0.580911046,4.62833333,7.96737015,0,0
207,207,14877,0,1,3,1,11475,2.34055678,#FF0A00,999,999,999,0,0
218,218,1518538,1,5,5,0,4907,141.769,#1F00E0,0.649449736,5.67957143,8.74520554,0,0
233,233,1520712,1,5,5,0,2348,666,#FFFFFF,0.307845738,3.03233333,9.85017155,0,0
235,235,1521568,0,0,5,1,13869,999,#999999,999,999,999,0,0
237,237,1521954,1,5,5,0,6714,666,#FFFFFF,0.446366261,6.47433333,14.5045311,0,0
258,258,1526596,3,0,5,0,3855,999,#999999,999,999,999,0,0
290,290,162890,0,1,5,1,5576,175.142326,#D60029,0.521701109,3.7546,7.19684113,0,0
297,297,1770346,3,0,1,0,1086,999,#999999,999,999,999,0,0
298,298,1785,0,0,5,1,13557,999,#999999,999,999,999,0,0
303,303,183309,1,4,2,0,1191,999,#999999,999,999,999,0,0
305,305,1834,0,1,5,1,14361,4.61920214,#FF1F00,0.320338883,8.127,25.3700079,0,0
308,308,1862382,3,0,1,0,1468,999,#999999,999,999,999,0,0
309,309,1862486,0,0,5,1,15029,999,#999999,999,999,999,0,0
310,310,1862762,3,0,3,0,519,999,#999999,999,999,999,0,0
312,312,1862860,0,0,1,1,11392,999,#999999,999,999,999,0,0
320,320,1876,0,0,7,1,6650,999,#999999,999,999,999,0,0
322,322,1878402,0,0,3,1,7720,999,#999999,999,999,999,0,0
324,324,1909432,3,0,4,0,2211,999,#999999,999,999,999,0,0
327,327,1913582,0,1,7,1,15548,69.2975,#7AFF00,0.492985183,5.5905,11.3400974,0,0
336,336,191682,0,1,3,1,12914,666,#FFFFFF,0.292617498,5.519,18.8607997,0,0
343,343,192523,0,1,3,1,8163,666,#FFFFFF,0.796,4.863,6.10929648,0,0
344,344,192620,3,0,1,0,1589,999,#999999,999,999,999,0,0
346,346,1928756,0,0,7,1,12350,999,#999999,999,999,999,0,0
360,360,1937498,0,0,7,1,13861,999,#999999,999,999,999,0,0
362,362,1939880,1,4,5,0,1941,999,#999999,999,999,999,0,0
390,390,1964,0,1,5,1,11785,136.524,#0000FF,0.092,5.046,54.8478261,0,0
413,413,197219,3,0,2,0,3205,999,#999999,999,999,999,0,0
437,437,1978856,3,0,3,0,651,999,#999999,999,999,999,0,0
440,440,199710,1,4,1,0,2502,999,#999999,999,999,999,0,0
443,443,201002,1,4,1,0,2531,999,#999999,999,999,999,0,0
444,444,201071,1,4,1,0,2258,999,#999999,999,999,999,0,0
458,458,2053948,0,0,7,1,8702,999,#999999,999,999,999,0,0
459,459,2054098,0,1,6,1,4802,48.3720569,#EBFF00,999,999,999,0,0
463,463,2089556,0,0,6,1,5735,999,#999999,999,999,999,0,0
476,476,2090918,0,0,6,1,6545,999,#999999,999,999,999,0,0
495,495,2093352,0,0,6,1,5405,999,#999999,999,999,999,0,0
