Skeleton ID,Pre or Post,Date Began Tracing,Original Annotator,# of Nodes,If Soma=1,Cell Type,Comments,Date Finished Tracing,Reviewer,Date Began Reviewing,# of Nodes Post-Review,TAGS_TO-CHECK,checked?,INITIALS,# of branches added by reviewer,# of branches CBR,# of distal nodes tagged CBR,# of branches removed by reviewer,# of synapses altered,Date Finished,Reviewing Comments,Seeder,Date Seeded,CATMAID Section #,Connector ID,Original Connector ID
4597792,"=HYPERLINK(""http://catmaid.hms.harvard.edu/?pid=1012&zp=13920.0&yp=480848.0&xp=345280.0&tool=tracingtool&sid0=6&s0=-2"", ""PRE"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417704,84881.0
4597806,"=HYPERLINK(""http://catmaid.hms.harvard.edu/?pid=1012&zp=13920.0&yp=480848.0&xp=345280.0&tool=tracingtool&sid0=6&s0=-2"", ""POST"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417704,84881.0
4419488,"=HYPERLINK(""http://catmaid.hms.harvard.edu/?pid=1012&zp=29200.0&yp=445120.0&xp=269632.0&tool=tracingtool&sid0=6&s0=-2"", ""PRE"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417678,21959.0
4419586,"=HYPERLINK(""http://catmaid.hms.harvard.edu/?pid=1012&zp=29200.0&yp=445120.0&xp=269632.0&tool=tracingtool&sid0=6&s0=-2"", ""POST"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417678,21959.0
4449602,"=HYPERLINK(""http://catmaid.hms.harvard.edu/?pid=1012&zp=11080.0&yp=465500.0&xp=341648.0&tool=tracingtool&sid0=6&s0=-2"", ""PRE"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417688,308944.0
4449646,"=HYPERLINK(""http://catmaid.hms.harvard.edu/?pid=1012&zp=11080.0&yp=465500.0&xp=341648.0&tool=tracingtool&sid0=6&s0=-2"", ""POST"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417688,308944.0
4450404,"=HYPERLINK(""http://catmaid.hms.harvard.edu/?pid=1012&zp=26680.0&yp=416048.0&xp=307180.0&tool=tracingtool&sid0=6&s0=-2"", ""PRE"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417698,21959.0
4450418,"=HYPERLINK(""http://catmaid.hms.harvard.edu/?pid=1012&zp=26680.0&yp=416048.0&xp=307180.0&tool=tracingtool&sid0=6&s0=-2"", ""POST"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417698,21959.0
ms.harvard.edu/?pid=1012&zp=8000.0&yp=327996.03125&xp=400895.96875&tool=tracingtool&sid0=6&s0=-2"", ""PRE"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417982,3395696.0
4451108,"=HYPERLINK(""http://catmaid.hms.harvard.edu/?pid=1012&zp=8000.0&yp=327996.03125&xp=400895.96875&tool=tracingtool&sid0=6&s0=-2"", ""POST"")",,,,,e,,,,,,,,,,,,,,,,LoganBot,2014/10/8,4417982,3395696.0
