NR_name,tracer_id,date_started,date_completed,comments,ConnID,Conn_x,Conn_y,Conn_z,Pre_skel,Post_skel,URL
,,,,,435514.0,335208.0,404740.0,25240.0,284979.0,199183.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=25240.0&yp=404740.0&xp=335208.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1147164.0,357884.0,384680.0,23920.0,53858.0,1157490.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=23920.0&yp=384680.0&xp=357884.0&tool=tracingtool&sid0=6&s0=-2
,,,,,1121402.0,335520.0,369132.0,9640.0,53858.0,29376.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=9640.0&yp=369132.0&xp=335520.0&tool=tracingtool&sid0=6&s0=-2
,,,,,800046.0,395548.0,424676.0,21280.0,74410.0,232840.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=21280.0&yp=424676.0&xp=395548.0&tool=tracingtool&sid0=6&s0=-2
,,,,,807762.0,267664.0,308732.0,11600.0,222688.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=11600.0&yp=308732.0&xp=267664.0&tool=tracingtool&sid0=6&s0=-2
,,,,,806856.0,268260.0,326016.0,13760.0,222688.0,922922.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=13760.0&yp=326016.0&xp=268260.0&tool=tracingtool&sid0=6&s0=-2
,,,,,808412.0,267180.0,287260.0,7640.0,222688.0,923242.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=7640.0&yp=287260.0&xp=267180.0&tool=tracingtool&sid0=6&s0=-2
,,,,,821333.0,354928.0,407816.0,21520.0,689758.0,191682.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=21520.0&yp=407816.0&xp=354928.0&tool=tracingtool&sid0=6&s0=-2
,,,,,816242.0,326652.0,372152.0,15160.0,53858.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=15160.0&yp=372152.0&xp=326652.0&tool=tracingtool&sid0=6&s0=-2
,,,,,822620.0,323264.0,370304.0,18240.0,74410.0,215638.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=18240.0&yp=370304.0&xp=323264.0&tool=tracingtool&sid0=6&s0=-2
,,,,,823330.0,313884.0,366808.0,13080.0,53858.0,951990.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=13080.0&yp=366808.0&xp=313884.0&tool=tracingtool&sid0=6&s0=-2
,,,,,824628.0,251084.0,328040.0,23400.0,74410.0,520267.0,http://catmaid.hms.harvard.edu/?pid=1012&zp=23400.0&yp=328040.0&xp=251084.0&tool=tracingtool&sid0=6&s0=-2
